customer_id,age,tenure,monthly_charges,support_tickets,contract_type,internet_service,payment_method,churn
CUST-00000,23,38.0,94.0740143312362,3,monthly,dsl,credit_card,0
CUST-00001,65,18.0,51.88472371205689,1,monthly,dsl,credit_card,0
CUST-00002,58,16.0,48.656019435314704,3,yearly,fiber,credit_card,0
CUST-00003,45,23.0,81.49264887537468,2,two_year,dsl,bank_transfer,0
CUST-00004,44,43.0,94.71383106163287,6,yearly,none,credit_card,0
CUST-00005,71,17.0,71.00641255001158,3,two_year,dsl,credit_card,0
CUST-00006,23,65.0,,5,two_year,fiber,paypal,0
CUST-00007,61,34.0,35.993540842766826,1,monthly,fiber,paypal,0
CUST-00008,30,62.0,34.32158994534397,2,monthly,none,credit_card,1
CUST-00009,23,49.0,25.809447176515476,3,monthly,fiber,credit_card,0
CUST-00010,50,24.0,72.73713398617718,2,monthly,fiber,credit_card,1
CUST-00011,78,16.0,98.12609804270063,0,yearly,dsl,bank_transfer,0
CUST-00012,63,53.0,69.66460532687978,7,monthly,fiber,credit_card,1
CUST-00013,65,23.0,13.489631066553692,1,monthly,dsl,paypal,0
CUST-00014,62,17.0,,1,monthly,fiber,paypal,0
CUST-00015,66,66.0,65.93002508418482,3,yearly,dsl,bank_transfer,0
CUST-00016,49,34.0,122.39996875563598,7,yearly,none,credit_card,1
CUST-00017,25,3.0,33.57155217701109,0,two_year,none,paypal,0
CUST-00018,70,35.0,60.23305993502011,1,monthly,none,bank_transfer,0
CUST-00019,45,33.0,112.64631701361411,1,monthly,none,bank_transfer,1
CUST-00020,49,62.0,81.2494585336637,5,two_year,fiber,credit_card,0
CUST-00021,40,51.0,84.08282683791062,2,yearly,none,bank_transfer,0
CUST-00022,29,13.0,,2,yearly,none,paypal,0
CUST-00023,75,10.0,78.24858846643161,4,monthly,dsl,paypal,0
CUST-00024,66,43.0,89.4402382569634,2,monthly,fiber,bank_transfer,0
CUST-00025,57,3.0,49.76284202768084,1,two_year,fiber,bank_transfer,0
CUST-00026,42,22.0,91.951464472705,2,yearly,dsl,credit_card,0
CUST-00027,69,9.0,35.67492457786152,2,yearly,dsl,bank_transfer,0
CUST-00028,51,1.0,78.20919932078846,4,monthly,fiber,paypal,1
CUST-00029,45,66.0,74.46852408215818,0,monthly,fiber,bank_transfer,0
